Record Number, Time, Temperature (F), Pressure (mbar), Humidity (%), Wind Direction (Degrees), Wind Direction (String), Wind Speed (MPH), Wind Gust (MPH), Precipitation (Inches), Shortwave Radiation (W m^(-2)), Avg. RF Watts (W), Avg. RF Watts Frequency (MHz), Peak RF Watts (W), Frequency of RF Watts Peak (MHz), Peak RF Watts Frequency (MHz), Watts of RF Watts Frequency Peak (W), Avg. RF Density (W m^(-2)), Avg. RF Density Frequency (MHz), Peak RF Density (W m^(-2)), Frequency of RF Density Peak (MHz), Peak RF Density Frequency (MHz), Density of RF Density Frequency Peak (W m^(-2)), Avg. Total Density (W m^(-2)), Max Total Density (W m^(-2)), Avg. EF (V/m), Max EF (V/m), Avg. EMF (mG), Max EMF (mG),Station ID
23, 2020-05-16 22:09:41.488010,49.3,1013.2,50.3,315, NW,0,0,0,0,5.010714E-10,719.3,6E-09,1856,1884,5E-09,6.71428571429E-05,772.3,0.0016,1880,1884,0.0005,0.000792857142857,0.0032,712.9,900.4,0,0.1,1
24, 2020-05-16 22:24:46.306761,48.7,1013.3,51.6,315, NW,0,0,0,0,6.723143E-10,790.8,8E-09,1864,1885,4E-09,3.71428571429E-05,772.6,0.0006,1874,1885,0.0004,0.00077,0.0031,746.4,900.4,0,0.2,1
25, 2020-05-16 22:39:50.712479,48.4,1013.2,52.2,315, NW,0,0,0,0,6.397286E-10,793.9,6E-09,1863,1884,3E-09,5.28571428571E-05,809.7,0.0006,1863,1880,0.0002,0.000822857142857,0.0059,732.1,900.4,0,0.1,1
26, 2020-05-16 22:54:55.336904,48.2,1013.1,52.8,315, NW,0,0,0,0,5.861857E-10,774.1,8E-09,1856,1867,6E-09,2.42857142857E-05,757.2,0.0006,1867,1878,0.0002,0.000752857142857,0.0031,716.6,937.6,0,0,1
27, 2020-05-16 23:10:00.241579,47.7,1013.1,53.2,315, NW,0,0,0,0,1.2307714E-09,812.1,3.2E-08,1880,1886,1E-09,3E-05,758.2,0.0006,1856,1886,0.0001,0.000867142857143,0.0032,746.7,918.4,0,0.1,1
28, 2020-05-16 23:25:05.577401,47.5,1012.9,54.5,314.7, NW,0,0,0,5,3.888E-10,706,5E-09,1854,1865,4E-09,2.71428571429E-05,723.5,0.0006,1866,1866,0.0006,0.00078,0.0032,745.8,940,0,0,1
29, 2020-05-16 23:40:10.610936,47.3,1012.6,54.2,315, NW,0,0.1,0,0,8.688714E-10,827.5,8E-09,1858,1882,2E-09,3.85714285714E-05,741.6,0.0008,1858,1882,0.0002,0.000918571428571,0.003,748.3,946,0,0,1
30, 2020-05-16 23:55:16.429013,46.9,1012.5,55,315, NW,0,0,0,0,5.801714E-10,758.9,8E-09,1861,1880,3E-09,5.14285714286E-05,741.2,0.0016,1880,1880,0.0016,0.000595714285714,0.0018,736.1,902.8,0,0,1
31, 2020-05-17 00:10:22.225999,46.4,1012.3,56.6,314.7, NW,0,0,0,0,5.382286E-10,724.5,8E-09,1851,1882,6E-09,7.71428571429E-05,742.3,0.0032,1880,1882,0.0006,0.00089,0.0032,776.5,978.4,0,0,1
32, 2020-05-17 00:25:27.532178,46.2,1012.4,58.6,302.9, WNW,0,0.7,0,0,9.094571E-10,811.7,1E-08,1877,1884,6E-09,0.000141428571429,795,0.0063,1880,1884,0.0006,0.000848571428571,0.003,765,960.4,0,0,1
33, 2020-05-17 00:40:31.565161,49.6,1012,47.1,356.7, NNW,1.6,5.4,0,0,6.840143E-10,741.6,8E-09,1856,1872,4E-09,4.42857142857E-05,723.3,0.0008,1861,1872,0.0004,0.000864285714286,0.0032,774,959.2,0,0,1
34, 2020-05-17 00:55:36.768654,50,1011.9,47,2, N,1.4,4.2,0,0,6.611E-10,790.3,5E-09,1877,1877,5E-09,1.57142857143E-05,686.2,0.0005,1848,1876,0.0003,0.000851428571429,0.0032,746.7,929.2,0,0,1
35, 2020-05-17 01:10:42.275945,48.9,1012,53.3,321.5, NW,0.1,1.2,0,0,9.49E-10,775.8,3.2E-08,1880,1880,3.2E-08,2.57142857143E-05,740.7,0.0005,1869,1874,0.0002,0.000845714285714,0.0031,741.2,911.2,0,0,1
36, 2020-05-17 01:25:47.525294,48.2,1011.9,50.2,317.9, NW,0.6,3.3,0,0,5.082714E-10,759.5,6E-09,1873,1886,5E-09,3.85714285714E-05,776.5,0.0006,1873,1877,0.0003,0.000717142857143,0.0032,744,920.8,0,0,1
37, 2020-05-17 01:40:52.723680,48.7,1011.7,57,5, N,2.3,5.2,0,0,7.388143E-10,755,1.3E-08,1880,1880,1.3E-08,7.14285714286E-05,772.7,0.0013,1880,1880,0.0013,0.000881428571429,0.0032,751.5,934,0,0,1
38, 2020-05-17 01:55:58.404843,49.6,1011.5,50,355.8, NNW,2.6,6.6,0,0,1.2947286E-09,793.6,3.2E-08,1880,1884,4E-09,0.00012,814.6,0.0032,1880,1880,0.0032,0.000774285714286,0.003,726.9,937.6,0,0,1
39, 2020-05-17 02:11:04.049037,49.8,1011.4,48.1,0.9, N,2.6,5.2,0,0,4.691286E-10,741.3,5E-09,1871,1878,4E-09,1.57142857143E-05,706,0.0004,1878,1878,0.0004,0.000851428571429,0.0032,740.8,919.6,0,0,1
40, 2020-05-17 02:26:09.021972,48.9,1011.6,51.5,315.9, NW,0.6,3.6,0,0,5.963E-10,758.4,8E-09,1869,1881,1E-09,1.28571428571E-05,689.5,0.0006,1857,1881,0.0001,0.000731428571429,0.0031,765,920.8,0,0,1
41, 2020-05-17 02:41:14.191337,47.5,1011.4,56.1,291.1, WNW,0.2,1,0,0,5.755143E-10,772.3,5E-09,1857,1882,4E-09,4.71428571429E-05,788.8,0.0006,1838,1882,0.0004,0.000725714285714,0.003,753.6,920.8,0,0,1
42, 2020-05-17 02:56:18.233710,48.4,1011,46.7,348.1, NNW,1.5,5.8,0,0,6.873143E-10,774.4,8E-09,1869,1869,8E-09,3.14285714286E-05,739.6,0.0005,1859,1859,0.0005,0.000864285714286,0.0055,751,890.8,0,0,1
43, 2020-05-17 03:11:20.218641,50.2,1010.9,43.7,2.9, N,2.7,6.7,0,0,2.443857E-10,670.5,3E-09,1841,1843,5.01E-10,2E-05,739.5,0.0005,1833,1875,0,0.000788571428571,0.0028,760.2,940,0,0,1
44, 2020-05-17 03:26:22.018857,48.6,1011.2,54.3,213.5, SSW,0.7,1.8,0,0,3.639286E-10,705.3,5E-09,1884,1884,5E-09,-0.957102857142857,688,0.0025,1880,1880,0.0025,0.000705714285714,0.0028,778,941.2,0,0,1
45, 2020-05-17 03:41:24.185670,46.9,1010.9,58.3,257.7, WSW,0.3,2.2,0,0,7.086571E-10,755.4,8E-09,1871,1873,8E-09,4.71428571429E-05,754.7,0.0008,1873,1873,0.0008,0.000827142857143,0.0028,759.2,937.6,0,0,1
46, 2020-05-17 03:56:26.685189,47.5,1010.9,54.1,335.4, NNW,1.1,3.1,0,0,5.744143E-10,792.7,5E-09,1856,1884,7.94E-10,4.71428571429E-05,809.5,0.0005,1856,1884,0.0001,0.000665714285714,0.0028,780.6,978.4,0,0,1
47, 2020-05-17 04:11:28.822956,47.1,1010.8,57.8,341.8, NNW,1.1,2.8,0,0,6.348429E-10,776.4,8E-09,1847,1880,3E-09,5.71428571429E-05,812.4,0.0008,1847,1880,0.0003,0.000761428571429,0.0027,787.3,959.2,0,0,1
48, 2020-05-17 04:26:31.157226,46.6,1010.7,58.8,355.4, NNW,1,3.3,0,0,1.2638857E-09,776.5,3.2E-08,1880,1881,1E-09,0.00012,811,0.0032,1880,1881,0.0001,0.00071,0.0027,786.7,956.8,0,0,1
49, 2020-05-17 04:41:33.107843,45.5,1010.6,60.1,306.5, NW,0,0.7,0,0,3.358571E-10,743.2,5E-09,1856,1880,2E-09,1.85714285714E-05,742.2,0.0005,1856,1880,0.0002,0.000774285714286,0.0026,754.6,929.2,0,0,1
50, 2020-05-17 04:56:35.970191,44.4,1010.7,62.8,270, W,0,0.7,0,0,6.504E-10,758,6E-09,1854,1871,4E-09,2.71428571429E-05,720.9,0.0006,1848,1881,0.0003,0.000741428571429,0.0027,752.3,940,0,0,1
51, 2020-05-17 05:11:38.126372,43.5,1010.8,65.9,270, W,0,0,0,0,5.185E-10,741.5,8E-09,1859,1879,4E-09,3.71428571429E-05,758.4,0.0008,1859,1882,0.0003,0.000832857142857,0.0084,733.9,929.2,0,0,1
52, 2020-05-17 05:26:40.756501,43,1010.4,68.3,314.3, NW,0.3,1.8,0,10,5.137E-10,743.3,8E-09,1877,1886,2E-09,8.5714285714E-06,707.8,0.0003,1834,1885,0,0.000667142857143,0.0028,742.2,920.8,0,0,1
53, 2020-05-17 05:41:42.783113,43,1010.2,69.8,207.1, SSW,0.3,1.9,0,0,3.614571E-10,758.2,4E-09,1830,1876,3.98E-10,2.14285714286E-05,775.5,0.0004,1830,1876,0,0.000782857142857,0.0028,756.4,908.8,0,0,1
54, 2020-05-17 05:56:45.223320,42.8,1010.3,70.4,252.1, WSW,0.3,1.3,0,0,3.162286E-10,688.1,5E-09,1847,1847,5E-09,2E-05,723.5,0.0005,1877,1877,0.0005,0.000681428571429,0.0026,746.3,918.4,0,0,1
55, 2020-05-17 06:11:48.192753,42.3,1010.4,72.7,299.1, WNW,0,0.7,0,0,1.4340571E-09,756.9,3.2E-08,1880,1880,3E-09,0.00013,756.9,0.0032,1880,1880,0.0003,0.000751428571429,0.0025,744.1,910,0,0,1
56, 2020-05-17 06:26:51.616005,42.4,1010.4,71.6,347.4, NNW,0.1,0.7,0,10,1.4866714E-09,777.3,4E-08,1880,1880,4E-08,0.000117142857143,759.2,0.004,1880,1880,0.004,0.000767142857143,0.0025,738.5,930.4,0,0,1
57, 2020-05-17 06:41:56.008641,42.6,1010.5,70.9,307.7, NW,0,0.1,0,15,7.787571E-10,759.5,1E-08,1857,1885,4E-09,8.14285714286E-05,810.8,0.001,1857,1885,0.0004,0.000738571428571,0.0025,723.1,918.4,0,0,1
58, 2020-05-17 06:57:00.812635,43.3,1010.6,71.1,319.8, NW,0.2,1.5,0,35,4.727143E-10,724.1,6E-09,1877,1877,6E-09,5E-05,759.9,0.0008,1857,1884,0.0006,0.000621428571429,0.0024,749.4,918.4,0,0,1
59, 2020-05-17 07:12:05.777994,44.1,1010.6,70.5,241.2, WSW,0.2,1.6,0,40,5.387E-10,724,6E-09,1868,1884,3E-09,6.14285714286E-05,794.7,0.0008,1881,1884,0.0003,0.000602857142857,0.0016,703.4,920.8,0,0,1
60, 2020-05-17 07:27:10.007315,44.8,1010.8,68.9,336.1, NNW,0.2,1,0,45,5.583E-10,759.4,5E-09,1856,1879,4E-09,0.000101428571429,798.1,0.0032,1880,1883,0.0013,0.000685714285714,0.0026,718.1,901.6,0,0,1
61, 2020-05-17 07:42:15.621691,46,1010.9,67.6,325, NW,0.2,1.5,0,85,4.614E-10,720.5,6E-09,1854,1880,4E-09,4.57142857143E-05,775.4,0.0006,1854,1880,0.0003,0.00066,0.0022,725.3,893.2,0,0,1
62, 2020-05-17 07:57:20.044682,47.3,1010.9,65.5,326, NW,0.2,1,0,85,6.969571E-10,775.5,6E-09,1856,1878,5E-09,3.42857142857E-05,722.7,0.0006,1841,1854,0.0005,0.0006,0.0018,724.8,910,0,0,1
63, 2020-05-17 08:12:25.480846,48.7,1010.8,64.5,327.1, NNW,0.1,1.3,0,130,4.268143E-10,723.7,5E-09,1860,1884,4E-09,2.14285714286E-05,723.5,0.0005,1860,1884,0.0004,0.000592857142857,0.0015,754,940,0,0,1
64, 2020-05-17 08:27:30.543134,50.5,1010.8,60,320.1, NW,0.2,1.2,0,155,4.760143E-10,775,6E-09,1856,1876,3.98E-10,5E-05,863.7,0.0006,1856,1886,0.0002,0.000544285714286,0.0015,755.9,922,0,0,1
65, 2020-05-17 08:42:34.595202,51.8,1010.7,57.7,331.5, NNW,0.6,2.7,0,145,4.144857E-10,740.8,4E-09,1855,1876,2E-09,2E-05,740.6,0.0004,1855,1876,0.0002,0.000635714285714,0.0022,740.6,918.4,0,0,1
66, 2020-05-17 08:57:38.739152,53.2,1010.8,56.3,336.9, NNW,0.4,2.5,0,195,4.910429E-10,741.3,1E-08,1856,1886,1E-09,2.71428571429E-05,741.1,0.0006,1867,1886,0.0001,0.000588571428571,0.0022,738.1,911.2,0,0.1,1
67, 2020-05-17 09:12:42.641254,54.3,1010.7,54,350.7, NNW,1,2.8,0,230,4.988714E-10,774.5,5E-09,1840,1880,2E-09,3.85714285714E-05,771.8,0.0006,1878,1885,0.0001,0.000551428571429,0.0019,741.5,910,0,0.1,1
68, 2020-05-17 09:27:45.750403,56.3,1010.7,49.7,324.5, NW,0.5,2.1,0,250,6.811429E-10,806.1,8E-09,1856,1886,2E-09,3.85714285714E-05,770.1,0.0006,1863,1863,0.0006,0.00055,0.0013,739.1,918.4,0.1,0.3,1
69, 2020-05-17 09:42:48.859100,59.7,1010.7,48,324.1, NW,0.4,2.2,0,690,4.416E-10,811.4,4E-09,1874,1884,2E-09,1E-05,722.7,0.0002,1857,1872,0.0002,0.000544285714286,0.002,750.6,900.4,0.3,0.5,1
70, 2020-05-17 09:57:51.690203,61,1010.6,41.7,323.7, NW,0.7,3.3,0,395,6.204286E-10,776.8,1.3E-08,1880,1882,1E-09,4.57142857143E-05,793.6,0.0013,1880,1880,0.0013,0.000611428571429,0.0022,712.2,899.2,0.5,0.8,1
71, 2020-05-17 10:12:53.617821,61,1010.6,41.7,359, NNW,1.4,3.4,0,285,4.397286E-10,759.3,4E-09,1861,1885,6.31E-10,2.57142857143E-05,763.4,0.0004,1861,1885,0.0001,0.00052,0.0021,715.4,863.2,0.7,0.8,1
72, 2020-05-17 10:27:56.840015,61,1010.4,42.3,355.7, NNW,1.4,3.4,0,270,5.293714E-10,723.7,1.6E-08,1880,1880,2E-09,3.85714285714E-05,742.1,0.0013,1880,1887,0.0001,0.000587142857143,0.0023,718.5,883.6,0.7,0.8,1
73, 2020-05-17 10:42:59.142865,62.6,1010.3,38.5,349.1, NNW,1.5,3.9,0,330,3.634286E-10,719.8,4E-09,1881,1881,4E-09,1E-05,685,0.0003,1880,1880,0.0003,0.000577142857143,0.0023,705.6,874,0.7,0.9,1
74, 2020-05-17 10:58:01.393721,65.1,1010.1,36.9,344.4, NNW,1.3,3.6,0,240,6.136286E-10,809.7,6E-09,1879,1881,3E-09,3.57142857143E-05,774.6,0.0005,1873,1881,0.0003,0.000554285714286,0.0021,705.2,899.2,0.8,1.1,1
75, 2020-05-17 11:13:04.096294,65.3,1010.1,38.5,330.6, NNW,0.4,2.4,0,585,3.998E-10,776.4,4E-09,1884,1884,4E-09,0.000475714285714,794.4,0.0316,1880,1884,0.0004,0.00055,0.0021,695.8,899.2,1,1.2,1
76, 2020-05-17 11:28:06.545786,67.5,1010.1,36.7,354.7, NNW,0.8,3.1,0,300,4.135E-10,740.5,4E-09,1833,1869,3E-09,2E-05,741.6,0.0003,1869,1887,0.0002,0.000554285714286,0.0021,667.7,920.8,1,1.2,1
77, 2020-05-17 11:43:08.954058,68,1010,38.4,336.4, NNW,0.6,2.8,0,280,4.701571E-10,810.2,4E-09,1856,1879,2E-09,0.000388571428571,793.6,0.0251,1880,1880,0.0251,0.000541428571429,0.0019,709.9,853.6,1.2,1.4,1
78, 2020-05-17 11:58:11.590333,71.1,1010,35.8,345.5, NNW,0.9,3.1,0,385,3.987143E-10,793.4,4E-09,1842,1887,5.01E-10,2.28571428571E-05,775.8,0.0004,1842,1887,0.0001,0.000505714285714,0.002,674.1,842.8,1.3,1.5,1
79, 2020-05-17 12:13:15.438442,73.4,1009.8,34.1,354.6, NNW,0.9,3.1,0,370,4.251286E-10,755.7,5E-09,1864,1883,1E-09,3.71428571429E-05,773.4,0.0013,1888,1888,0.0013,0.000528571428571,0.0025,655.8,844,1.5,1.7,1
80, 2020-05-17 12:28:20.147090,72.9,1009.7,33.9,19.5, NNE,1.1,2.8,0,665,3.813E-10,759,3E-09,1848,1884,3E-09,2E-05,741.5,0.0003,1884,1884,0.0003,0.000471428571429,0.0019,631.3,824.8,1.6,1.8,1
81, 2020-05-17 12:43:24.566046,77,1009.6,31,3.6, N,0.9,2.2,0,880,3.606143E-10,775.5,3E-09,1871,1876,5.01E-10,3.57142857143E-05,793.4,0.001,1858,1882,0.0002,0.000428571428571,0.0018,635.5,860.8,1.7,1.9,1
82, 2020-05-17 12:58:28.846629,81,1009.4,29.8,288.4, WNW,0.7,3,0,595,1.4687E-09,790.9,6.3E-08,1880,1884,3E-09,0.000134285714286,825.4,0.0063,1880,1884,0.0003,0.000398571428571,0.0019,603.2,784,1.9,2.2,1
83, 2020-05-17 13:13:34.130545,81.1,1009.3,28.4,313.2, NW,0.4,1.8,0,440,3.538E-10,758,4E-09,1844,1882,3E-09,2.57142857143E-05,790.8,0.0004,1844,1879,0.0002,0.00044,0.0017,596.2,755.2,2.1,2.3,1
84, 2020-05-17 13:28:39.634875,82,1009.1,27.6,300.4, WNW,0.3,2.2,0,500,4.065714E-10,766.1,5E-09,1877,1881,7.94E-10,1.57142857143E-05,750.9,0.0003,1852,1881,0.0001,0.00038,0.0018,592.7,748,2.2,2.5,1
85, 2020-05-17 13:43:44.086210,83.3,1008.9,25.5,249.7, WSW,0.8,2.4,0,1045,2.0893857E-09,773,1.26E-07,1880,1880,1.26E-07,0.000201428571429,804.2,0.0126,1880,1880,0.0126,0.000368571428571,0.0016,574.7,739.6,2.3,2.5,1
86, 2020-05-17 13:58:49.908746,86.9,1008.7,22.7,251.3, WSW,1.1,2.8,0,1015,3.165286E-10,723,3E-09,1879,1882,3E-09,1.85714285714E-05,730.7,0.0003,1879,1882,0.0003,0.000385714285714,0.0017,533,700,2.4,2.6,1
87, 2020-05-17 14:13:54.685735,85.1,1008.4,22.2,235.4, SW,1.2,3.3,0,435,3.525714E-10,747.9,3E-09,1863,1872,2E-09,1.57142857143E-05,716.1,0.0003,1839,1886,0.0002,0.000361428571429,0.0014,517.4,700,2.6,2.8,1
88, 2020-05-17 14:29:00.398013,85.3,1008.4,22.2,214.1, SW,1.3,3.1,0,455,2.109429E-10,700.2,2E-09,1885,1885,2E-09,0.000104285714286,759.4,0.0063,1880,1885,0.0002,0.00039,0.0016,532.1,745.6,2.6,2.8,1
89, 2020-05-17 14:44:05.463023,86.2,1008.2,19,230.1, SW,2.9,6.9,0,890,2.725714E-10,704.3,6E-09,1880,1880,6E-09,3E-05,774,0.0006,1880,1882,0.0003,0.000347142857143,0.0012,549,745.6,2.6,2.7,1
90, 2020-05-17 14:59:11.297608,87.6,1008,17.5,233.6, SW,2.8,6.4,0,705,2.259286E-10,724.9,3E-09,1882,1887,6.31E-10,2.42857142857E-05,752.5,0.0005,1880,1887,0.0001,0.000378571428571,0.0015,555.8,716.8,2.7,2.8,1
91, 2020-05-17 15:14:17.915889,89.6,1007.9,17.6,225.8, SW,2.3,5.5,0,940,2.931571E-10,702.3,3E-09,1875,1875,3E-09,2.42857142857E-05,732.5,0.0003,1875,1883,0.0003,0.000334285714286,0.0017,564.9,730,2.7,2.9,1
92, 2020-05-17 15:29:23.999526,88.9,1007.7,15.5,226.9, SW,3.2,6.4,0,790,2.883857E-10,711.8,6E-09,1880,1880,6E-09,8.5714285714E-06,679.6,0.0002,1846,1875,0.0001,0.000362857142857,0.0017,569,738.4,2.8,2.9,1
93, 2020-05-17 15:44:29.949549,84.6,1007.4,18,235.8, SW,3.1,5.4,0,450,1.740286E-10,684.9,2E-09,1866,1877,1E-09,0.000184285714286,686.3,0.0126,1880,1880,0.0126,0.000418571428571,0.0016,603.2,786.4,2.8,2.9,1
94, 2020-05-17 15:59:34.668476,81.7,1007.3,19.4,228.6, SW,3,5.1,0,105,3.123E-10,767.2,3E-09,1836,1881,1E-09,1.57142857143E-05,775.1,0.0003,1836,1881,0,0.00037,0.0013,597.6,786.4,2.7,2.8,1
95, 2020-05-17 16:14:39.262201,80.1,1007,20.5,222.7, SW,2.4,5.1,0,70,3.118714E-10,743.5,3E-09,1876,1884,3E-09,3.42857142857E-05,810.9,0.0004,1833,1884,0.0003,0.000344285714286,0.0012,625,815.2,2.6,2.7,1
96, 2020-05-17 16:29:43.451992,79.3,1006.8,21.3,235.5, SW,2.1,4.2,0,85,3.919286E-10,728.8,1E-08,1880,1880,1E-08,1E-05,718.1,0.0003,1832,1881,0,0.000322857142857,0.0009,641.8,803.2,2.5,2.6,1
97, 2020-05-17 16:44:48.257740,79,1006.6,20.8,241.4, WSW,2.5,4.9,0,70,8.349E-10,734.7,4E-08,1880,1880,4E-08,1.14285714286E-05,677,0.0004,1869,1869,0.0004,0.00031,0.001,652.4,822.4,2.4,2.5,1
98, 2020-05-17 16:59:53.139949,78.4,1006.5,21.1,230.4, SW,2.3,5.1,0,60,3.719714E-10,762.8,3E-09,1876,1887,1E-09,2.42857142857E-05,763.2,0.0003,1876,1887,0.0001,0.000252857142857,0.001,640.6,814,2.2,2.4,1
99, 2020-05-17 17:14:58.303328,78.3,1006.3,20.2,249.8, WSW,2.8,5.8,0,60,3.328E-10,740.6,3E-09,1877,1881,1E-09,1.85714285714E-05,757.1,0.0003,1849,1874,0.0002,0.000352857142857,0.001,658.4,862,2.2,2.4,1
